"","AGE","LocFit","MEAN(of_boot)","0.05","0.95"
"370",7330,-0.032887277849095,-0.0395258747239762,-0.228691494263692,0.131423448990091
"371",7350,-0.0241114429566337,-0.0310147408959734,-0.217957549545353,0.135527254707829
"372",7370,-0.0162039484835824,-0.0233215802006948,-0.203867120849242,0.139260679228199
"373",7390,-0.00925112564753865,-0.0165309769537812,-0.19739182701801,0.14630433013955
"374",7410,-0.00333930566610005,-0.0107293180612779,-0.190336209897161,0.151602771989255
"375",7430,0.00144518024313581,-0.0060066651845908,-0.181420816545252,0.156896228178579
"376",7450,0.00501600086257127,-0.00245077384525372,-0.175677473429069,0.159493560071785
"377",7470,0.00728682497460872,-0.000141213495652192,-0.171435198385912,0.161350692221352
"378",7490,0.00824524161973648,0.000880281914992572,-0.174002839789203,0.162899737206709
"379",7510,0.00807865913422724,0.000813962558193422,-0.176115806334036,0.161170034235149
"380",7530,0.00688935417305904,-0.000235497627120141,-0.179158059180089,0.160757620708556
"381",7550,0.00477328891878524,-0.00217056182125509,-0.177020014581116,0.156620432462167
"382",7570,0.00182642555395926,-0.00489369320451844,-0.178631111444882,0.152214805300413
"383",7590,-0.00185527373886553,-0.00830735495721715,-0.176270830177812,0.145075178611111
"384",7610,-0.0061758467771357,-0.0123140102596582,-0.175669038426734,0.136342875374069
"385",7630,-0.0110393313782979,-0.0168161222921486,-0.173458016953233,0.125654185742461
"386",7650,-0.0163497653597987,-0.0217161542349954,-0.173530162823915,0.116580924330514
"387",7670,-0.0220111865390847,-0.0269165692685054,-0.17080997929557,0.104974351586656
"388",7690,-0.0279276327336026,-0.0323198305729858,-0.170142402022472,0.0966313012370327
"389",7710,-0.0340031417607989,-0.0378284013287434,-0.170090553023821,0.0914899288194174
"390",7730,-0.0401417514381203,-0.0433447447160853,-0.173412525807044,0.0829908115909775
"391",7750,-0.0462474995830132,-0.0487713796130799,-0.178795429000537,0.0828771181685701
"392",7770,-0.0522244240129245,-0.0540129191721844,-0.188981149925032,0.0868614180891521
"393",7790,-0.0579765625453007,-0.0589773948328304,-0.200827465125845,0.0866549050778002
"394",7810,-0.0634079529975883,-0.063623972727144,-0.215423242283804,0.0912226099170153
"395",7830,-0.068422633187234,-0.0678857252406288,-0.23238787495378,0.0931296699773188
"396",7850,-0.0729246409316844,-0.0716640062695953,-0.244482110271727,0.0972205538479385
"397",7870,-0.0768582112576036,-0.0749246939110879,-0.265348162772951,0.10510353342931
"398",7890,-0.0802515622340676,-0.0777563262777521,-0.283606519131737,0.119634247546394
"399",7910,-0.0831256488116294,-0.0801746575833987,-0.300441775811608,0.129892885663298
"400",7930,-0.0855013233377055,-0.0821951143365826,-0.316374377419447,0.143559710525018
"401",7950,-0.087399438159712,-0.0838331230458587,-0.331243956815707,0.155544713648918
"402",7970,-0.0888408456250651,-0.0851041102197817,-0.342840714274265,0.161240876649119
"403",7990,-0.0898463980811813,-0.0860235023669066,-0.351761344101644,0.168588819546626
"404",8010,-0.0904369478754767,-0.0866067259957882,-0.358081052959262,0.178270407978215
"405",8030,-0.0906333473553675,-0.0868692076149814,-0.360966949315462,0.182839105832954
"406",8050,-0.0904564488682701,-0.086826373733041,-0.371750968027525,0.186001259812182
"407",8070,-0.0899271047616007,-0.086493650858522,-0.372974011949434,0.184716768099447
"408",8090,-0.0890661673827756,-0.0858864654999791,-0.371813772645146,0.188435218180849
"409",8110,-0.087894489079211,-0.0850202441659672,-0.36953896245686,0.191367754112941
"410",8130,-0.0864329221983232,-0.0839104659813078,-0.365100960117144,0.191402544774033
"411",8150,-0.0847023190875284,-0.0825726170340759,-0.358909933353258,0.188110442543784
"412",8170,-0.082723532094243,-0.0810183826437507,-0.351108964338095,0.186342700298881
"413",8190,-0.0805174135658831,-0.0792489217336016,-0.340230461419466,0.190392963650259
"414",8210,-0.0781048158498651,-0.0772726823296969,-0.333553115397209,0.190489895287341
"415",8230,-0.0755060022716724,-0.0751333820681842,-0.323196639995829,0.181870918731462
"416",8250,-0.0726991504605463,-0.0728583383349414,-0.314917706040575,0.173479518352647
"417",8270,-0.0696897705967746,-0.0704403705955503,-0.299748637845498,0.162146077279145
"418",8290,-0.0665142124740683,-0.0679061791671184,-0.290992449201025,0.158782567973186
"419",8310,-0.0632088258861389,-0.0652824643667531,-0.290255456434817,0.162195612035469
"420",8330,-0.0598099606266977,-0.062595926511562,-0.284267432992095,0.157657741461241
"421",8350,-0.0563539664894558,-0.0598732659186524,-0.274275830347202,0.158222457507271
"422",8370,-0.0528771932681246,-0.0571411829051321,-0.271467770408679,0.159124941062393
"423",8390,-0.0494159907564154,-0.0544263777881083,-0.269057067438514,0.160865860858392
"424",8410,-0.0460067087480395,-0.0517555508846886,-0.267838643608192,0.163821729581351
"425",8430,-0.0426856970367082,-0.0491554025119806,-0.266168131062541,0.168526432024203
"426",8450,-0.0394893054161327,-0.0466526329870916,-0.269505264101216,0.173445724490897
"427",8470,-0.0364538836800243,-0.0442739426271293,-0.264732305136212,0.179882136387045
